CO2,tVOC,Humidity,Temp,Fire
0.416,0.002,0.4767,0.2324,0
0.421,0.003,0.4763,0.2324,0
0.421,0.003,0.4759,0.2324,0
0.421,0.003,0.4756,0.2324,0
0.432,0.004,0.4751,0.2323,0
0.432,0.004,0.475,0.2324,0
0.425,0.003,0.4746,0.2324,0
0.425,0.003,0.4743,0.2324,0
0.425,0.003,0.4741,0.2325,0
0.425,0.003,0.4738,0.2325,0
0.425,0.003,0.4736,0.2324,0
0.421,0.003,0.4734,0.2324,0
0.421,0.003,0.4731,0.2325,0
0.421,0.003,0.4727,0.2325,0
0.421,0.003,0.4728,0.2325,0
0.421,0.003,0.4725,0.2324,0
0.414,0.002,0.4649,0.2329,0
0.421,0.003,0.472,0.2324,0
0.425,0.003,0.4719,0.2324,0
0.416,0.002,0.4718,0.2325,0
0.416,0.002,0.4717,0.2324,0
0.416,0.002,0.4716,0.2325,0
0.432,0.004,0.4715,0.2325,0
0.421,0.003,0.4711,0.2325,0
0.425,0.003,0.4712,0.2325,0
0.425,0.003,0.4708,0.2324,0
0.425,0.003,0.4709,0.2325,0
0.432,0.004,0.4707,0.2326,0
0.432,0.004,0.4703,0.2324,0
0.432,0.004,0.47,0.2326,0
0.435,0.005,0.4698,0.2325,0
0.421,0.003,0.4696,0.2325,0
0.432,0.004,0.4696,0.2325,0
0.432,0.004,0.4693,0.2326,0
0.432,0.004,0.4691,0.2326,0
0.441,0.006,0.4687,0.2326,0
0.435,0.005,0.4686,0.2326,0
0.441,0.006,0.4684,0.2326,0
0.425,0.003,0.4684,0.2326,0
0.409,0.001,0.4684,0.2326,0
0.409,0.001,0.4681,0.2327,0
0.402,0,0.4681,0.2325,0
0.402,0,0.4683,0.2326,0
0.4,0,0.4682,0.2326,0
0.402,0,0.4682,0.2326,0
0.4,0,0.4685,0.2326,0
0.4,0,0.4681,0.2327,0
0.4,0,0.4681,0.2326,0
0.4,0,0.468,0.2326,0
0.402,0,0.468,0.2327,0
0.4,0,0.4679,0.2327,0
0.402,0,0.468,0.2328,0
0.414,0.002,0.4679,0.2326,0
0.432,0.004,0.4675,0.2326,0
0.432,0.004,0.4678,0.2327,0
0.432,0.004,0.4677,0.2327,0
0.421,0.003,0.4675,0.2327,0
0.409,0.001,0.4674,0.2327,0
0.402,0,0.4673,0.2327,0
0.414,0.002,0.4671,0.2328,0
0.416,0.002,0.4666,0.2328,0
0.416,0.002,0.4673,0.2328,0
0.421,0.003,0.4671,0.2328,0
0.409,0.001,0.4669,0.2327,0
0.416,0.002,0.4669,0.2327,0
0.414,0.002,0.4664,0.2328,0
0.414,0.002,0.4669,0.2327,0
0.409,0.001,0.4669,0.2327,0
0.409,0.001,0.4667,0.2328,0
0.4,0,0.4668,0.2327,0
0.4,0,0.4671,0.2328,0
0.4,0,0.4668,0.2329,0
0.4,0,0.4668,0.2328,0
0.405,0,0.4667,0.2328,0
0.409,0.001,0.4667,0.2327,0
0.409,0.001,0.4664,0.2328,0
0.409,0.001,0.4666,0.2328,0
0.4,0,0.4662,0.2328,0
0.409,0.001,0.466,0.2328,0
0.405,0,0.4658,0.2329,0
0.4,0,0.4657,0.2327,0
0.405,0,0.4654,0.2328,0
0.405,0,0.4651,0.2328,0
0.409,0.001,0.4652,0.2329,0
0.422,0.003,0.465,0.2328,0
0.433,0.005,0.4646,0.2329,0
0.45,0.007,0.4646,0.2328,0
0.455,0.008,0.4647,0.2328,0
0.459,0.008,0.4645,0.2328,0
0.475,0.011,0.4645,0.2328,0
0.485,0.012,0.4644,0.2328,0
0.47,0.01,0.4644,0.2328,0
0.487,0.013,0.4642,0.2329,0
0.487,0.013,0.4644,0.2329,0
0.475,0.011,0.4641,0.2328,0
0.455,0.008,0.4641,0.2329,0
0.459,0.008,0.4639,0.2328,0
0.441,0.006,0.464,0.2329,0
0.433,0.005,0.4639,0.2329,0
0.445,0.006,0.464,0.2329,0
5.887,9.007,0.271,0.3974,1
4.769,6.63,0.2694,0.3975,1
4.043,5.105,0.2705,0.3975,1
5.479,8.157,0.2667,0.3976,1
7.424,12.283,0.2602,0.3978,1
5.607,8.432,0.2557,0.3979,1
4.593,6.259,0.2509,0.398,1
3.306,3.507,0.2481,0.3982,1
2.802,2.434,0.245,0.3984,1
2.497,1.774,0.2421,0.3985,1
2.461,1.688,0.2421,0.3986,1
2.864,2.57,0.2215,0.4011,1
3.036,2.922,0.2255,0.4012,1
3.013,2.878,0.2217,0.4013,1
2.786,2.404,0.217,0.4013,1
2.342,1.443,0.2131,0.4012,1
2.116,0.957,0.2095,0.4012,1
2.395,1.561,0.2065,0.4011,1
2.004,0.756,0.2048,0.4011,1
2.126,0.976,0.1983,0.4034,1
1.948,0.659,0.1984,0.4035,1
1.674,0.313,0.1983,0.4035,1
1.645,0.286,0.1974,0.4036,1
1.897,0.581,0.2077,0.4176,1
2.257,1.253,0.204,0.4176,1
1.975,0.703,0.2005,0.4178,1
1.926,0.625,0.197,0.4177,1
2.028,0.799,0.1945,0.4174,1
2.374,1.515,0.1931,0.4173,1
2.342,1.443,0.1926,0.4175,1
2.307,1.372,0.1923,0.4177,1
1.926,0.625,0.1904,0.4194,1
1.788,0.436,0.1896,0.4194,1
2.02,0.784,0.1897,0.4194,1
1.594,0.239,0.1912,0.4195,1
2.184,1.102,0.1939,0.4199,1
2.236,1.211,0.1992,0.4204,1
2.082,0.883,0.2016,0.421,1
1.55,0.207,0.2023,0.4214,1
1.623,0.265,0.202,0.422,1
2.278,1.306,0.2003,0.4222,1
2.395,1.561,0.1597,0.4424,1
2.355,1.467,0.1589,0.4423,1
1.657,0.296,0.1582,0.4421,1
2.285,1.324,0.158,0.4421,1
2.244,1.229,0.1573,0.4421,1
2.616,2.029,0.1496,0.4403,1
2.418,1.608,0.1498,0.4402,1
2.332,1.423,0.1504,0.4401,1
1.798,0.446,0.1515,0.4401,1
1.788,0.436,0.153,0.4402,1
2.384,1.533,0.1535,0.4401,1
1.733,0.37,0.1521,0.44,1
9.631,17.043,0.1512,0.4396,1
8.465,14.537,0.1976,0.4732,1
13.41,25.113,0.2065,0.4781,1
6.03,9.32,0.1968,0.4833,1
3.767,4.482,0.1946,0.4873,1
3.389,3.686,0.1872,0.4888,1
3.055,2.96,0.1817,0.4877,1
5.417,8.022,0.175,0.4852,1
3.238,3.361,0.182,0.4846,1
2.818,2.469,0.1774,0.4867,1
4.196,5.4,0.1688,0.4865,1
2.906,2.649,0.168,0.4845,1
3.195,3.259,0.1671,0.4816,1
3.111,3.084,0.1696,0.4793,1
3.54,4.004,0.1705,0.4772,1
3.238,3.361,0.1747,0.4751,1
4.196,5.4,0.1757,0.4739,1
6.614,10.581,0.1746,0.4735,1
4.272,5.557,0.1692,0.483,1
2.692,2.187,0.159,0.4828,1
2.471,1.713,0.1565,0.4817,1
4.35,5.735,0.1556,0.4809,1
4.769,6.63,0.1533,0.48,1
3.797,4.544,0.1599,0.4798,1
3.055,2.96,0.162,0.482,1
2.942,2.721,0.1651,0.4837,1
3.826,4.613,0.1674,0.4865,1
5.479,8.157,0.1533,0.4842,1
4.425,5.894,0.1535,0.483,1
4.232,5.486,0.1487,0.4817,1
4.164,5.325,0.1443,0.4804,1
2.848,2.536,0.145,0.4791,1
2.848,2.536,0.1436,0.4786,1
8.168,13.909,0.1443,0.4782,1
5.543,8.304,0.1482,0.4789,1
3.767,4.482,0.1495,0.4802,1
4.815,6.74,0.1506,0.4811,1
3.132,3.135,0.1541,0.4826,1
2.786,2.404,0.1538,0.4837,1
4.164,5.325,0.1568,0.4841,1
3.707,4.352,0.168,0.4879,1
3.54,4.004,0.172,0.4939,1
3.797,4.544,0.1785,0.5027,1
2.942,2.721,0.1668,0.5091,1
3.493,3.898,0.1612,0.5113,1
2.511,1.799,0.157,0.5115,1
2.679,2.154,0.1529,0.5111,1
2.864,2.57,0.1468,0.5101,1
4.815,6.74,0.1399,0.5077,1
3.917,4.83,0.1413,0.5053,1
3.732,4.42,0.1426,0.5035,1
3.517,3.96,0.142,0.5017,1
2.88,2.607,0.1375,0.4999,1
3.367,3.644,0.133,0.4981,1
3.4,3.714,0.1294,0.4965,1
7.751,13.046,0.1268,0.4951,1
4.571,6.211,0.1253,0.4943,1
3.373,3.658,0.1239,0.4934,1
6.132,9.546,0.1235,0.4926,1
3.477,3.869,0.1283,0.4925,1
3.329,3.556,0.1336,0.4932,1
4.438,5.931,0.1382,0.4949,1
3.507,3.933,0.1409,0.4967,1
3.58,4.092,0.1425,0.4976,1
4.611,6.306,0.1494,0.5009,1
3.108,3.083,0.1582,0.5021,1
2.873,2.595,0.1616,0.5029,1
2.737,2.297,0.1624,0.5028,1
3.329,3.556,0.1665,0.503,1
2.628,2.056,0.1701,0.503,1
2.542,1.871,0.1696,0.5028,1
2.388,1.546,0.174,0.5034,1
2.368,1.501,0.1761,0.5067,1
1.516,0.182,0.1777,0.5108,1
1.988,0.725,0.1758,0.5144,1
1.961,0.68,0.1655,0.5167,1
1.677,0.315,0.1573,0.5172,1
1.563,0.217,0.1558,0.5173,1
3.753,4.458,0.1532,0.5177,1
4.524,6.106,0.1483,0.5176,1
4.66,6.402,0.145,0.5172,1
3.174,3.22,0.1432,0.5165,1
2.343,1.448,0.1283,0.5232,1
1.906,0.594,0.1326,0.5206,1
1.647,0.287,0.1333,0.5206,1
2.77,2.37,0.1354,0.5209,1
3.373,3.658,0.1374,0.5211,1
2.158,1.048,0.1401,0.5213,1
1.837,0.498,0.1423,0.5213,1
1.753,0.394,0.1443,0.5214,1
1.321,0.14,0.1451,0.5216,1
0.995,0.09,0.146,0.5217,1
0.679,0.042,0.1475,0.523,1
2.493,1.768,0.111,0.5259,1
2.084,0.89,0.1111,0.5258,1
2.189,1.115,0.1095,0.5259,1
2.428,1.633,0.1075,0.5257,1
2.092,0.909,0.1058,0.5256,1
2.574,1.935,0.1064,0.5254,1
2.054,0.833,0.1072,0.5255,1
2.402,1.577,0.1073,0.5254,1
1.815,0.469,0.1076,0.5255,1
2.158,1.048,0.1074,0.5253,1
2.318,1.399,0.1068,0.5254,1
2.285,1.324,0.1054,0.5252,1
1.92,0.617,0.1043,0.5251,1
2.11,0.943,0.1032,0.5249,1
2.116,0.957,0.1024,0.5249,1
2.066,0.854,0.1005,0.5248,1
2.934,2.703,0.1011,0.5247,1
3.174,3.22,0.101,0.5245,1
2.368,1.501,0.1005,0.5245,1
2.38,1.523,0.0998,0.5244,1
2.53,1.845,0.0991,0.5243,1
2.428,1.633,0.0983,0.5239,1
2.206,1.157,0.0974,0.5236,1
2.24,1.224,0.0965,0.5235,1
2.253,1.252,0.0951,0.5156,1
2.189,1.115,0.0948,0.5154,1
2.457,1.688,0.0946,0.5154,1
2.261,1.272,0.095,0.5152,1
2.343,1.448,0.0957,0.5151,1
2.33,1.419,0.0964,0.5151,1
2.206,1.157,0.0971,0.515,1
2.441,1.653,0.0982,0.5148,1
2.318,1.399,0.0988,0.5149,1
1.738,0.377,0.0994,0.5149,1
2.23,1.202,0.1006,0.5147,1
2.253,1.252,0.1017,0.5147,1
2.318,1.399,0.1028,0.5147,1
2.56,1.907,0.1039,0.5146,1
3.09,3.033,0.1066,0.5123,1
2.502,1.789,0.1063,0.5122,1
2.689,2.186,0.1074,0.5119,1
3.285,3.46,0.1094,0.5119,1
3.553,4.026,0.1118,0.5117,1
4.396,5.839,0.1126,0.5117,1
5.29,7.751,0.1121,0.5116,1
8.175,13.926,0.1108,0.5114,1
15.504,29.206,0.1084,0.5113,1
8.962,15.588,0.1057,0.5111,1
7.646,12.763,0.1039,0.5109,1
24.539,29.206,0.1031,0.5107,1
11.086,20.172,0.1021,0.5106,1
6.956,11.302,0.102,0.5105,1
6.301,9.913,0.1018,0.5104,1
8.465,14.537,0.1018,0.5103,1
21.189,29.206,0.1021,0.5102,1
13.319,24.92,0.1026,0.5099,1
32.768,29.206,0.1029,0.5099,1
14.13,26.62,0.1033,0.5098,1
19.43,29.206,0.1026,0.5097,1
9.32,16.366,0.1019,0.5095,1
10.362,18.559,0.0981,0.5084,1
5.29,7.751,0.0976,0.5082,1
4.857,6.83,0.0983,0.508,1
4.2,5.417,0.0995,0.5078,1
3.454,3.819,0.1017,0.5078,1
3.357,3.61,0.1035,0.5079,1
3.192,3.259,0.1066,0.5077,1
2.737,2.297,0.1111,0.5078,1
2.1,0.922,0.1149,0.5077,1
2.722,2.268,0.1182,0.5077,1
2.493,1.768,0.1146,0.5074,1
2.24,1.224,0.124,0.5065,1
2.709,2.235,0.1228,0.5058,1
2.305,1.371,0.1224,0.5045,1
2.601,1.997,0.1234,0.5025,1
2.676,2.159,0.1234,0.5009,1
2.457,1.688,0.1214,0.4997,1
2.616,2.029,0.1208,0.4992,1
2.601,1.997,0.1219,0.4987,1
2.601,1.997,0.1243,0.4978,1
2.1,0.922,0.1258,0.4968,1
2.305,1.371,0.1271,0.4959,1
1.997,0.74,0.13,0.4944,1
2.33,1.419,0.1307,0.4929,1
2.218,1.184,0.131,0.4925,1
2.412,1.598,0.1315,0.4923,1
2.02,0.784,0.1305,0.4923,1
2.402,1.577,0.1301,0.4926,1
2.402,1.577,0.1292,0.4931,1
2.412,1.598,0.1275,0.4937,1
2.285,1.324,0.1225,0.4943,1
2.166,1.067,0.1194,0.4947,1
2.02,0.784,0.1183,0.4949,1
2.23,1.202,0.1175,0.4953,1
2.128,0.981,0.1144,0.4956,1
2.261,1.272,0.112,0.4957,1
1.954,0.67,0.1133,0.4955,1
1.815,0.469,0.1155,0.4957,1
1.764,0.407,0.1178,0.4959,1
1.628,0.271,0.1206,0.4962,1
2.072,0.868,0.1206,0.4961,1
2.218,1.184,0.1229,0.4946,1
2.355,1.467,0.1246,0.4924,1
1.988,0.725,0.127,0.4902,1
2.039,0.819,0.13,0.4878,1
2.092,0.909,0.1336,0.4858,1
3.815,4.59,0.1363,0.4843,1
3.914,4.814,0.1383,0.4823,1
3.257,3.407,0.1361,0.4385,1
2.343,1.448,0.1365,0.4383,1
2.791,2.41,0.1439,0.4368,1
2.197,1.138,0.1444,0.4367,1
2.16,1.045,0.1443,0.4346,1
1.618,0.262,0.1448,0.4346,1
1.823,0.479,0.1455,0.4345,1
2.611,2.023,0.146,0.4344,1
4.112,5.223,0.1467,0.4343,1
1.259,0.13,0.1476,0.4342,1
2.611,2.023,0.1484,0.434,1
2.197,1.138,0.1493,0.4339,1
4.416,5.867,0.1501,0.4339,1
2.353,1.463,0.1507,0.4338,1
3.892,4.774,0.1512,0.4336,1
4.881,6.859,0.1511,0.4334,1
0.421,0.003,0.4429,0.2311,0
0.435,0.005,0.4433,0.2311,0
0.496,0.006,0.4427,0.2311,0
0.444,0.006,0.4427,0.2312,0
0.448,0.007,0.4428,0.2312,0
0.56,0.007,0.4426,0.2312,0
0.448,0.007,0.4426,0.2312,0
0.465,0.009,0.4428,0.2312,0
0.461,0.009,0.4426,0.2311,0
0.459,0.008,0.4427,0.2312,0
0.445,0.006,0.4641,0.233,0
0.441,0.006,0.464,0.2329,0
0.438,0.005,0.4635,0.2329,0
0.422,0.003,0.4644,0.2329,0
0.417,0.002,0.4644,0.2329,0
0.414,0.002,0.4646,0.2329,0
0.409,0.001,0.4647,0.233,0
0.417,0.002,0.4648,0.2329,0
0.417,0.002,0.466,0.2329,0
0.417,0.002,0.4659,0.2329,0
5.732,8.706,0.2533,0.4029,1
2.395,1.561,0.2483,0.4028,1
2.108,0.937,0.2467,0.4024,1
2.012,0.767,0.2423,0.4019,1
2.549,1.886,0.241,0.4014,1
2.365,1.492,0.2422,0.4008,1
2.257,1.253,0.247,0.4002,1
1.957,0.674,0.251,0.3997,1
1.832,0.49,0.2533,0.3991,1
1.917,0.611,0.27,0.3974,1
