CO2,Light(lux),Temp(C),Greenhouse
0.459,1.1547,0.2312,0
0.459,1.2347,0.2311,0
0.441,1.1663,0.2312,0
0.405,1.0547,0.2311,0
0.4,1.1948,0.2311,0
0.407,1.2984,0.2312,0
0.418,1.2648,0.2312,0
0.414,1.1948,0.2312,0
0.407,1.354,0.2311,0
0.4,1.354,0.2312,0
0.413,1.354,0.2312,0
0.413,1.354,0.2312,0
0.405,1.354,0.2312,0
0.4,1.5504,0.2312,0
0.4,1.5504,0.2313,0
0.409,1.5504,0.2312,0
0.409,1.5504,0.2312,0
0.409,1.7953,0.2312,0
0.409,1.7953,0.2313,0
0.409,1.7953,0.2312,0
0.409,1.7953,0.2311,0
0.409,1.9927,0.2312,0
0.409,1.9927,0.2312,0
0.409,1.9927,0.2312,0
0.409,1.9927,0.2312,0
0.405,2.0619,0.2312,0
0.409,2.0619,0.2312,0
0.405,2.0619,0.2312,0
0.405,2.0619,0.2312,0
0.409,2.0288,0.2313,0
0.413,2.0288,0.2312,0
0.417,2.0288,0.2312,0
0.417,2.0288,0.2313,0
0.413,2.0053,0.2312,0
0.409,2.0053,0.2313,0
0.409,2.0053,0.2312,0
0.409,2.0053,0.2313,0
0.409,2.0053,0.2314,0
0.409,1.9892,0.2313,0
0.413,1.9892,0.2312,0
0.413,1.9892,0.2312,0
0.417,1.9892,0.2313,0
0.42,1.9457,0.2312,0
0.42,1.9457,0.2312,0
0.417,1.9457,0.2312,0
0.42,1.9457,0.2312,0
0.42,1.906,0.2312,0
0.42,1.906,0.2313,0
0.417,1.906,0.2312,0
0.417,1.906,0.2312,0
0.413,1.8354,0.2312,0
0.413,1.8354,0.2312,0
0.417,1.8354,0.2312,0
0.417,1.8354,0.2312,0
0.417,1.7945,0.2312,0
0.426,1.7945,0.2312,0
0.426,1.7945,0.2312,0
0.42,1.7945,0.2311,0
0.417,1.8165,0.2312,0
0.417,1.8165,0.2312,0
0.417,1.8165,0.2313,0
0.42,1.8165,0.2312,0
0.42,1.8165,0.2312,0
0.426,1.8683,0.2312,0
0.426,1.8683,0.2312,0
0.433,1.8683,0.2312,0
0.433,1.8683,0.2313,0
0.433,1.8921,0.2312,0
0.445,1.8921,0.2313,0
0.441,1.8921,0.2312,0
0.441,1.8921,0.2312,0
0.441,1.8766,0.2313,0
0.441,1.8766,0.2312,0
0.445,1.8766,0.2311,0
0.454,1.8766,0.2312,0
0.466,1.8128,0.2313,0
0.466,1.8128,0.2312,0
0.459,1.8128,0.2312,0
0.45,1.8128,0.2312,0
0.454,1.7419,0.2313,0
0.454,1.7419,0.2313,0
0.454,1.7419,0.2313,0
0.459,1.7419,0.2312,0
0.459,1.7419,0.2313,0
0.459,1.719,0.2312,0
0.459,1.719,0.2312,0
0.459,1.719,0.2312,0
0.459,1.719,0.2312,0
0.463,1.7715,0.2313,0
0.463,1.7715,0.2313,0
0.459,1.7715,0.2313,0
0.463,1.7715,0.2312,0
0.463,1.8085,0.2313,0
0.466,1.8085,0.2313,0
0.466,1.8085,0.2312,0
0.48,1.8085,0.2313,0
0.48,1.8133,0.2312,0
0.482,1.8133,0.2312,0
0.493,1.8133,0.2313,0
0.482,1.8133,0.2313,0
0.48,1.7758,0.2312,0
0.493,1.7758,0.2313,0
0.498,1.7758,0.2313,0
0.493,1.7758,0.2313,0
0.498,1.7495,0.2312,0
0.498,1.7495,0.2313,0
0.493,1.7495,0.2313,0
0.498,1.7495,0.2313,0
0.48,1.7495,0.2313,0
0.491,1.7329,0.2313,0
0.482,1.7329,0.2313,0
0.482,1.7329,0.2313,0
0.482,1.7329,0.2313,0
0.482,1.7329,0.2313,0
0.482,1.7329,0.2314,0
0.482,1.7329,0.2312,0
0.498,1.7329,0.2313,0
0.502,1.7381,0.2313,0
0.502,1.7381,0.2313,0
0.502,1.7381,0.2313,0
0.502,1.7381,0.2314,0
0.542,1.7286,0.2313,0
0.493,1.7286,0.2313,0
0.491,1.7286,0.2313,0
0.491,1.7286,0.2313,0
0.502,1.7431,0.2312,0
0.491,1.7431,0.2313,0
0.493,1.7431,0.2313,0
0.498,1.7431,0.2313,0
0.524,1.7545,0.2313,0
0.524,1.7545,0.2313,0
0.53,1.7545,0.2312,0
0.502,1.7545,0.2313,0
0.524,1.7545,0.2313,0
0.498,1.7526,0.2313,0
0.514,1.7526,0.2313,0
0.493,1.7526,0.2313,0
0.482,1.7526,0.2313,0
0.514,1.7639,0.2313,0
0.498,0.0591,0.1834,1
0.493,0.0916,0.1852,1
0.491,0.0916,0.1765,1
0.53,0.0916,0.1534,1
0.53,0.0916,0.1432,1
0.514,0.1067,0.1583,1
0.542,0.1067,0.1838,1
0.542,0.1067,0.1666,1
0.537,0.1067,0.1522,1
0.53,0.115,0.1298,1
0.548,0.115,0.1354,1
0.542,0.115,0.1434,1
0.537,0.115,0.1476,1
0.53,0.115,0.1399,1
0.548,0.1183,0.1445,1
0.548,0.1183,0.1562,1
0.537,0.1183,0.1694,1
0.53,0.1183,0.1638,1
0.548,0.113,0.1579,1
0.537,0.113,0.1374,1
0.524,0.113,0.1495,1
0.519,0.113,0.1124,1
0.542,0.113,0.1023,1
0.548,0.1152,0.0924,1
0.53,0.1152,0.0872,1
0.53,0.1152,0.1193,1
0.416,0.1152,0.1294,1
0.416,0.1171,0.1355,1
0.416,0.1171,0.1047,1
0.414,0.1171,0.1638,1
0.414,0.1171,0.1579,1
0.414,0.1171,0.1374,1
0.416,0.1201,0.1495,1
0.414,0.1201,0.1124,1
0.416,0.1201,0.1023,1
0.414,0.1201,0.0924,1
0.414,0.1202,0.0872,1
0.414,0.1202,0.1298,1
0.414,0.1202,0.1354,1
0.414,0.1202,0.1434,1
0.414,0.1202,0.1476,1
0.414,0.1044,0.1834,1
0.414,0.1044,0.1852,1
0.416,0.1044,0.1765,1
0.416,0.1044,0.1534,1
0.421,0.0891,0.1432,1
0.425,0.0891,0.1583,1
0.425,0.0891,0.1838,1
0.425,0.0891,0.1666,1
0.425,0.0891,0.1522,1
0.425,0.089,0.1193,1
0.425,0.089,0.1294,1
0.432,0.089,0.1355,1
0.432,0.089,0.1047,1
0.432,0.089,0.1638,1
0.432,0.0915,0.1579,1
0.432,0.0915,0.1374,1
0.432,0.0915,0.1495,1
0.425,0.0915,0.1124,1
0.425,0.0915,0.1023,1
0.425,0.1078,0.0924,1
0.425,0.1076,0.0872,1
0.425,0.1076,0.1298,1
0.425,0.1076,0.1354,1
0.421,0.1076,0.1434,1
0.416,0.1076,0.1476,1
0.425,0.1076,0.1834,1
0.432,0.1076,0.1852,1
0.432,0.1076,0.1765,1
0.432,0.1076,0.1534,1
0.425,0.1076,0.12876,1
0.425,0.1085,0.1345,1
0.416,0.1085,0.1555,1
0.421,0.1089,0.1598,1
0.421,0.1089,0.1487,1
0.421,0.1089,0.139,1
0.432,0.1094,0.119,1
0.432,0.1094,0.1063,1
0.425,0.1099,0.0845,1
0.425,0.1099,0.0654,1
0.425,0.1099,0.0586,1
0.425,0.1099,0.1684,1
0.425,0.1097,0.1124,1
0.421,0.1097,0.1426,1
0.421,0.1097,0.1541,1
0.421,0.109,0.1391,1
0.421,0.109,0.103,1
0.421,0.109,0.0963,1
0.414,0.1088,0.1145,1
0.421,0.1088,0.168,1
0.425,0.1088,0.192,1
0.416,0.1088,0.1193,1
0.416,0.1088,0.1294,1
0.416,0.1087,0.1355,1
0.432,0.1087,0.1047,1
0.421,0.1087,0.1638,1
0.425,0.1087,0.1579,1
0.425,0.1086,0.1374,1
0.425,0.1086,0.1495,1
0.432,0.1086,0.1124,1
0.432,0.1086,0.1023,1
0.432,0.1086,0.0924,1
0.435,0.1084,0.0872,1
0.421,0.1084,0.1298,1
0.432,0.1084,0.1354,1
0.432,0.1084,0.1434,1
0.432,0.1083,0.1476,1
0.441,0.1083,0.1834,1
0.435,0.1083,0.1852,1
0.441,0.1083,0.1765,1
0.425,0.1083,0.1534,1
0.409,0.1081,0.12876,1
0.409,0.1081,0.1345,1
0.402,0.1081,0.1555,1
0.402,0.1081,0.1598,1
0.4,0.1073,0.1487,1
0.402,0.1073,0.139,1
0.4,0.1073,0.119,1
0.4,0.1073,0.1063,1
0.4,0.1073,0.0845,1
0.4,0.107,0.0654,1
0.402,0.107,0.0586,1
0.4,0.107,0.1684,1
0.402,0.107,0.1397,1
0.414,0.1072,0.1785,1
0.432,0.1072,0.1594,1
0.432,0.1072,0.1686,1
0.432,0.1072,0.149,1
0.421,0.1072,0.183,1
0.409,0.1071,0.1193,1
0.402,0.1071,0.1294,1
0.414,0.1071,0.1355,1
0.416,0.1071,0.1047,1
0.416,0.2178,0.1638,1
0.421,0.2178,0.1579,1
0.21,0.2178,0.1374,1
0.275,0.2178,0.1495,1
0.35,0.2404,0.1124,1
0.175,0.2404,0.1023,1
0.235,0.2404,0.0924,1
0.268,0.2404,0.0872,1
0.185,0.2099,0.1298,1
0.113,0.2099,0.1354,1
0.243,0.2099,0.1434,1
0.276,0.2099,0.1476,1
0.303,0.2099,0.1834,1
0.141,0.1518,0.1852,1
0.102,0.1518,0.1765,1
0.343,0.1518,0.1534,1
0.224,0.1518,0.1333,1
